restaurant_id,name,city,area,cuisines,restaurant_type,price_range,avg_cost_for_two,rating,votes,online_order,table_booking,delivery,listed_in,payment_mode,established_year,seating_capacity,famous_dish
155,Classic Lounge,Bangalore,Indiranagar,"North Indian, Fast Food",Buffet,Moderate (₹500-1000),940,2.9,3382,Yes,No,No,Delivery,Card,2008,160,Tandoori
156,New Corner,Kolkata,Behala,"Continental, Pizza",Delivery Only,Budget (₹0-200),136,3.9,4987,Yes,No,No,Nightlife,Card,2021,0,Dal Makhani
157,Little Hub,Jaipur,C Scheme,"Burger, South Indian",Cafe,Premium (₹1000-2000),1012,3.7,4875,No,Yes,Yes,Nightlife,Card,2017,155,Pasta
158,Big House,Pune,Baner,"Chinese, North Indian",Bakery,Budget (₹0-200),150,2.6,505,Yes,No,Yes,Pubs and bars,All Modes,2018,189,Pasta
159,Delhi Bistro,Delhi,Lajpat Nagar,"Burger, Chinese",Bar & Restaurant,Affordable (₹200-500),423,3.4,551,Yes,No,Yes,Delivery,Card,2007,121,Butter Chicken
160,Delhi Bar,Ahmedabad,CG Road,"Mughlai, Italian",Casual Dining,Affordable (₹200-500),332,4.8,4294,Yes,Yes,Yes,Buffet,UPI,2008,17,Burger
161,Delhi Palace,Indore,Rajendra Nagar,"Chinese, Burger",Bakery,Budget (₹0-200),172,3.4,4102,No,No,No,Desserts,Cash,2023,182,Tandoori
162,Little Palace,Delhi,Saket,"North Indian, Chinese",Casual Dining,Affordable (₹200-500),218,3.4,1239,Yes,No,Yes,Buffet,All Modes,2012,92,Dosa
163,Delhi Point,Kolkata,Behala,"Chinese, Bengali",Food Court,Budget (₹0-200),151,4.4,386,Yes,Yes,Yes,Desserts,UPI,2015,32,Chole Bhature
164,Mumbai Dhaba,Ahmedabad,CG Road,"Burger, Bengali",Delivery Only,Luxury (₹2000+),4238,3.9,4051,Yes,No,Yes,Desserts,Card,2009,0,Biryani
165,The Dhaba,Kochi,Thrippunithura,"Cafe, Thai",Casual Dining,Moderate (₹500-1000),771,4.5,2529,Yes,No,Yes,Cafes,Cash,2009,192,Pizza
166,Urban Dhaba,Delhi,Connaught Place,"Desserts, Mediterranean",Food Court,Premium (₹1000-2000),1445,3.7,3240,Yes,No,Yes,Dine-out,Card,2014,76,Sushi
167,Little Point,Pune,Hadapsar,"Sushi, Thai",Buffet,Moderate (₹500-1000),554,2.8,4799,Yes,Yes,Yes,Cafes,UPI,2018,40,Chole Bhature
168,Old Restaurant,Pune,Kothrud,"Street Food, Pizza",Fine Dining,Budget (₹0-200),105,4.5,4952,Yes,No,Yes,Dine-out,Cash,2012,101,Pasta
169,Grand Restaurant,Jaipur,MI Road,"Pizza, Mughlai",Casual Dining,Premium (₹1000-2000),1812,3.8,785,No,No,No,Delivery,Cash,2006,66,Paneer Tikka
170,Mumbai Bar,Hyderabad,Ameerpet,"Chinese, Bengali",Bakery,Moderate (₹500-1000),963,3.0,3642,Yes,Yes,Yes,Delivery,Cash,2019,22,Paneer Tikka
171,Fresh Grill,Kochi,Thrippunithura,"Mexican, Desserts",Casual Dining,Premium (₹1000-2000),1904,3.0,1543,No,Yes,Yes,Delivery,Card,2014,137,Pasta
172,The Bistro,Kochi,Aluva,"Pizza, Mediterranean",Quick Bites,Premium (₹1000-2000),1730,3.1,4463,Yes,No,No,Cafes,All Modes,2016,154,Chole Bhature
173,Delhi Cafe,Pune,Hadapsar,"North Indian, Thai",Bakery,Affordable (₹200-500),383,4.4,3874,Yes,No,Yes,Dine-out,Cash,2012,178,Dosa
174,Big Dhaba,Chennai,T Nagar,"Bakery, Mexican",Food Court,Affordable (₹200-500),214,3.3,2949,Yes,Yes,No,Pubs and bars,Card,2023,58,Sushi
175,Classic Restaurant,Indore,Bhawarkuan,"Mughlai, Desserts",Casual Dining,Budget (₹0-200),161,3.0,4322,Yes,Yes,No,Dine-out,Card,2015,193,Paneer Tikka
176,The Kitchen,Kochi,Kaloor,"Continental, Bengali",Quick Bites,Budget (₹0-200),175,4.2,3250,Yes,Yes,Yes,Dine-out,Card,2018,173,Momos
177,Royal Grill,Nagpur,Hingna,"Cafe, Thai",Cafe,Luxury (₹2000+),4875,4.3,2422,Yes,No,Yes,Pubs and bars,All Modes,2023,18,Paneer Tikka
178,Urban Garden,Lucknow,Alambagh,"Bengali, Biryani",Bakery,Budget (₹0-200),144,4.3,1959,No,Yes,Yes,Desserts,UPI,2019,12,Pizza
179,Little Bistro,Hyderabad,Gachibowli,"Thai, Pizza",Fine Dining,Budget (₹0-200),152,4.3,1372,Yes,No,Yes,Pubs and bars,All Modes,2008,132,Noodles
180,Royal House,Chandigarh,Sector 8,"Chinese, South Indian",Delivery Only,Budget (₹0-200),148,2.7,1403,Yes,No,Yes,Delivery,UPI,2020,0,Tandoori
181,Grand Cafe,Mumbai,Worli,"Bengali, Mediterranean",Quick Bites,Budget (₹0-200),189,4.8,3362,Yes,No,Yes,Pubs and bars,UPI,2014,86,Dosa
182,New Lounge,Delhi,Connaught Place,"Cafe, Seafood",Quick Bites,Budget (₹0-200),161,2.7,4926,Yes,Yes,Yes,Dine-out,UPI,2007,131,Sushi
183,Big Hub,Delhi,Dwarka,"Seafood, Desserts",Delivery Only,Budget (₹0-200),123,4.6,3036,No,Yes,Yes,Cafes,UPI,2012,0,Sushi
184,Royal Garden,Chennai,T Nagar,"Italian, Chinese",Food Court,Luxury (₹2000+),4814,3.8,3181,No,No,Yes,Desserts,All Modes,2023,70,Momos
185,New Bites,Chennai,Anna Nagar,"South Indian, Cafe",Bakery,Luxury (₹2000+),3734,2.9,1379,Yes,Yes,Yes,Delivery,All Modes,2011,170,Paneer Tikka
186,Mumbai Bites,Chandigarh,Sector 9,"Chinese, Italian",Dhaba,Luxury (₹2000+),4552,4.6,4267,No,No,Yes,Pubs and bars,All Modes,2008,116,Paneer Tikka
187,Urban Bistro,Bangalore,Indiranagar,"Bakery, Italian",Delivery Only,Luxury (₹2000+),3128,3.4,3987,Yes,No,Yes,Cafes,Card,2017,0,Biryani
188,Little Dhaba,Kolkata,Behala,"South Indian, Desserts",Delivery Only,Moderate (₹500-1000),997,3.2,4037,Yes,No,Yes,Dine-out,UPI,2019,0,Noodles
189,Delhi Grill,Chandigarh,Sector 43,"Mediterranean, Chinese",Cafe,Premium (₹1000-2000),1810,3.7,4241,Yes,No,No,Delivery,UPI,2021,113,Paneer Tikka
190,Royal Dhaba,Indore,Vijay Nagar,"Fast Food, South Indian",Cafe,Budget (₹0-200),147,4.2,2254,No,Yes,Yes,Delivery,Cash,2012,105,Momos
191,Royal Point,Lucknow,Aminabad,"Seafood, Bengali",Bar & Restaurant,Moderate (₹500-1000),697,4.3,750,Yes,Yes,Yes,Desserts,Card,2012,175,Dosa
192,Delhi Bar,Nagpur,Ramdaspeth,"Mediterranean, Cafe",Casual Dining,Budget (₹0-200),128,2.9,79,No,Yes,No,Buffet,UPI,2018,106,Sushi
193,Delhi Dhaba,Pune,Aundh,"Street Food, Burger",Bar & Restaurant,Luxury (₹2000+),2442,2.5,3075,No,No,Yes,Cafes,Cash,2015,80,Kebabs
194,Delhi Bar,Pune,Viman Nagar,"Burger, Fast Food",Quick Bites,Luxury (₹2000+),4684,3.5,2628,Yes,Yes,No,Cafes,UPI,2013,117,Pasta
195,Modern Grill,Kolkata,Park Street,"Bakery, Fast Food",Food Court,Affordable (₹200-500),485,3.7,1402,No,No,Yes,Cafes,Card,2013,195,Noodles
196,Grand Bites,Jaipur,Malviya Nagar,"Sushi, Chinese",Cafe,Moderate (₹500-1000),799,3.5,2724,Yes,No,Yes,Desserts,Cash,2020,23,Sushi
197,Old Bites,Nagpur,Dharampeth,"Fast Food, Cafe",Fine Dining,Premium (₹1000-2000),1419,4.6,1245,Yes,No,Yes,Cafes,Card,2015,193,Paneer Tikka
198,Old Corner,Indore,Palasia,"Mughlai, Thai",Casual Dining,Budget (₹0-200),173,4.3,1391,No,No,Yes,Dine-out,All Modes,2018,113,Pasta
199,The Kitchen,Ahmedabad,Vastrapur,"Cafe, Fast Food",Food Court,Budget (₹0-200),180,2.5,43,Yes,No,Yes,Nightlife,Card,2008,108,Chole Bhature
200,Royal Bistro,Lucknow,Rajajipuram,"South Indian, Sushi",Delivery Only,Premium (₹1000-2000),1192,4.9,2817,Yes,No,No,Desserts,All Modes,2005,0,Dosa
201,Golden Grill,Hyderabad,Hitech City,"North Indian, Bengali",Bar & Restaurant,Affordable (₹200-500),330,4.1,316,Yes,No,No,Delivery,Cash,2008,177,Sushi
202,Little Bistro,Mumbai,Bandra,"Mediterranean, Seafood",Dhaba,Budget (₹0-200),138,2.9,86,Yes,No,No,Pubs and bars,UPI,2009,117,Sushi
203,Classic Grill,Kochi,Edapally,"Bengali, Italian",Delivery Only,Budget (₹0-200),166,4.0,2164,Yes,No,Yes,Nightlife,Card,2006,0,Chole Bhature
204,Little Bites,Ahmedabad,Satellite,"Seafood, Sushi",Cafe,Budget (₹0-200),185,4.7,4713,Yes,No,Yes,Desserts,Cash,2008,75,Kebabs
205,Delhi Restaurant,Hyderabad,Secunderabad,"Street Food, South Indian",Fine Dining,Affordable (₹200-500),259,4.4,2571,Yes,No,Yes,Delivery,Card,2010,94,Burger
206,Modern Restaurant,Kochi,Aluva,"Chinese, Mexican",Food Court,Affordable (₹200-500),444,4.8,2236,Yes,No,Yes,Desserts,Card,2008,43,Tandoori
207,Fresh Cafe,Surat,Adajan,"Italian, Street Food",Bakery,Premium (₹1000-2000),1700,3.4,2947,No,Yes,No,Dine-out,All Modes,2020,38,Tacos
208,The Bistro,Kolkata,Howrah,"Pizza, Thai",Casual Dining,Luxury (₹2000+),4718,3.7,790,Yes,No,Yes,Buffet,All Modes,2009,152,Tacos
209,The Bar,Lucknow,Hazratganj,"Mughlai, Cafe",Buffet,Premium (₹1000-2000),1228,3.3,2720,Yes,Yes,Yes,Buffet,All Modes,2017,70,Butter Chicken
210,Big Lounge,Ahmedabad,Prahlad Nagar,"Street Food, Chinese",Buffet,Premium (₹1000-2000),1036,4.3,155,Yes,Yes,Yes,Pubs and bars,Cash,2007,164,Dal Makhani
211,Urban Palace,Nagpur,Manewada,"Cafe, Fast Food",Buffet,Moderate (₹500-1000),866,4.5,2729,Yes,Yes,Yes,Buffet,All Modes,2008,34,Noodles
212,The Corner,Nagpur,Ramdaspeth,"Thai, Burger",Bar & Restaurant,Luxury (₹2000+),4955,2.6,1354,Yes,No,Yes,Cafes,Cash,2013,166,Dosa
213,Urban Point,Hyderabad,Jubilee Hills,"Mexican, Fast Food",Buffet,Affordable (₹200-500),430,2.6,4833,Yes,Yes,Yes,Pubs and bars,Card,2020,11,Chole Bhature
214,Classic Bites,Surat,Adajan,"Mediterranean, Bengali",Buffet,Luxury (₹2000+),4482,2.9,1061,Yes,No,No,Nightlife,All Modes,2018,165,Tacos
215,Delhi Hub,Surat,Citylight,"Sushi, Burger",Buffet,Affordable (₹200-500),480,4.2,4206,Yes,No,No,Buffet,Card,2011,63,Dal Makhani
216,Grand Corner,Surat,Piplod,"Continental, Fast Food",Bar & Restaurant,Luxury (₹2000+),4732,4.3,4616,Yes,No,Yes,Buffet,All Modes,2022,83,Tacos
217,Big Kitchen,Chandigarh,Panchkula,"Desserts, Italian",Casual Dining,Premium (₹1000-2000),1699,2.6,2197,Yes,Yes,No,Dine-out,Cash,2014,62,Noodles
218,Mumbai Point,Jaipur,MI Road,"Street Food, Italian",Bakery,Luxury (₹2000+),2192,3.8,1956,Yes,No,No,Cafes,All Modes,2018,185,Burger
219,The Grill,Jaipur,MI Road,"Pizza, Fast Food",Bakery,Premium (₹1000-2000),1617,4.2,3022,Yes,No,No,Desserts,Card,2014,124,Paneer Tikka
220,Royal Cafe,Nagpur,Dharampeth,"Desserts, Italian",Dhaba,Budget (₹0-200),174,3.1,1328,No,No,No,Buffet,Card,2006,49,Tacos
221,Big Bites,Pune,Koregaon Park,"Bengali, Burger",Buffet,Luxury (₹2000+),4069,3.3,1811,Yes,Yes,No,Dine-out,All Modes,2022,147,Pasta
222,Golden Bites,Delhi,Rohini,"Fast Food, Thai",Food Court,Moderate (₹500-1000),558,3.8,4608,Yes,Yes,No,Cafes,Card,2012,20,Kebabs
223,New Bites,Kochi,Kaloor,"Italian, Mediterranean",Delivery Only,Luxury (₹2000+),2179,4.5,3081,Yes,Yes,No,Nightlife,Card,2015,0,Chole Bhature
224,Royal Garden,Delhi,Karol Bagh,"Cafe, Bakery",Casual Dining,Budget (₹0-200),113,4.4,3485,Yes,No,No,Buffet,All Modes,2007,185,Paneer Tikka
225,Little Corner,Mumbai,Borivali,"South Indian, Italian",Fine Dining,Budget (₹0-200),133,2.7,1874,Yes,No,No,Cafes,All Modes,2015,14,Pasta
226,Classic Kitchen,Nagpur,Dharampeth,"Bengali, Chinese",Bakery,Budget (₹0-200),177,2.8,2478,Yes,No,No,Cafes,All Modes,2005,131,Paneer Tikka
227,Royal Grill,Jaipur,C Scheme,"Mexican, Bakery",Delivery Only,Affordable (₹200-500),484,4.1,101,Yes,No,No,Delivery,All Modes,2022,0,Chole Bhature
228,Golden Grill,Delhi,Dwarka,"Thai, Fast Food",Dhaba,Luxury (₹2000+),4323,3.0,2080,Yes,Yes,Yes,Desserts,Cash,2022,128,Kebabs
229,Delhi Bar,Jaipur,Vaishali Nagar,"Chinese, Burger",Fine Dining,Affordable (₹200-500),345,2.8,1931,No,No,Yes,Nightlife,All Modes,2019,94,Dal Makhani
230,Little Lounge,Nagpur,Manewada,"Continental, Bengali",Bakery,Moderate (₹500-1000),864,2.5,2026,Yes,No,Yes,Cafes,UPI,2016,44,Kebabs
231,Urban House,Surat,Katargam,"Street Food, Seafood",Food Court,Moderate (₹500-1000),939,2.9,4979,No,No,Yes,Pubs and bars,Card,2013,197,Tacos
232,Little Bistro,Nagpur,Dharampeth,"North Indian, Cafe",Casual Dining,Luxury (₹2000+),3933,4.7,4528,No,No,Yes,Buffet,Card,2016,110,Dosa
233,Royal House,Kochi,Fort Kochi,"Desserts, Cafe",Fine Dining,Premium (₹1000-2000),1456,4.1,1368,Yes,No,Yes,Dine-out,Card,2020,101,Biryani
234,Golden Bistro,Hyderabad,Secunderabad,"Pizza, Mexican",Cafe,Budget (₹0-200),105,3.4,3734,Yes,No,Yes,Buffet,UPI,2013,158,Chole Bhature
235,New Bar,Lucknow,Aliganj,"Mexican, Thai",Bakery,Budget (₹0-200),144,3.7,2900,Yes,No,Yes,Delivery,Card,2019,52,Dosa
236,Golden Cafe,Delhi,Dwarka,"Mughlai, Fast Food",Food Court,Luxury (₹2000+),3961,3.5,2715,Yes,No,Yes,Cafes,Card,2023,51,Kebabs
237,The Dhaba,Chandigarh,Panchkula,"South Indian, Mughlai",Bakery,Luxury (₹2000+),2737,3.7,4698,Yes,Yes,No,Pubs and bars,All Modes,2023,173,Biryani
238,Spice Dhaba,Kochi,Fort Kochi,"Street Food, Desserts",Buffet,Affordable (₹200-500),293,2.8,4783,Yes,No,No,Nightlife,Card,2015,126,Dal Makhani
239,Golden Hub,Lucknow,Gomti Nagar,"Mexican, Continental",Fine Dining,Budget (₹0-200),177,4.1,1235,Yes,No,No,Pubs and bars,Cash,2022,138,Noodles
240,Old Bar,Delhi,Karol Bagh,"Continental, Bakery",Casual Dining,Premium (₹1000-2000),1787,4.2,3524,No,No,Yes,Nightlife,Cash,2018,44,Pizza
241,Urban Point,Ahmedabad,Satellite,"Chinese, Sushi",Bakery,Luxury (₹2000+),2029,2.5,68,No,No,Yes,Cafes,Card,2015,114,Burger
242,New Bar,Delhi,Lajpat Nagar,"Bakery, Pizza",Delivery Only,Luxury (₹2000+),4283,4.0,3265,No,No,Yes,Cafes,Card,2016,0,Chole Bhature
243,Delhi Restaurant,Jaipur,Sanganer,"Bakery, Thai",Dhaba,Affordable (₹200-500),309,3.6,1335,Yes,No,Yes,Desserts,Cash,2010,109,Kebabs
244,Fresh Cafe,Mumbai,Andheri,"Seafood, Mediterranean",Fine Dining,Budget (₹0-200),192,2.7,319,Yes,Yes,Yes,Buffet,UPI,2006,54,Kebabs
245,The Dhaba,Ahmedabad,Prahlad Nagar,"Desserts, Burger",Cafe,Budget (₹0-200),130,4.1,2956,Yes,No,Yes,Nightlife,All Modes,2016,181,Pasta
246,Classic Kitchen,Kolkata,Ballygunge,"Chinese, Italian",Bar & Restaurant,Moderate (₹500-1000),794,3.0,1603,Yes,No,Yes,Dine-out,All Modes,2021,37,Chole Bhature
247,Mumbai Bistro,Delhi,Dwarka,"Desserts, Pizza",Bar & Restaurant,Luxury (₹2000+),3879,4.8,4623,Yes,No,Yes,Buffet,All Modes,2023,17,Momos
248,Spice Hub,Delhi,Dwarka,"Biryani, Pizza",Food Court,Premium (₹1000-2000),1408,2.5,2167,Yes,No,No,Buffet,UPI,2007,151,Tacos
249,Mumbai Corner,Bangalore,Hebbal,"Fast Food, Bengali",Delivery Only,Affordable (₹200-500),305,3.0,1992,Yes,No,No,Desserts,UPI,2009,0,Noodles
250,Urban Bistro,Delhi,Karol Bagh,"Seafood, North Indian",Bar & Restaurant,Budget (₹0-200),135,3.3,4716,No,No,No,Nightlife,All Modes,2012,157,Paneer Tikka
251,Old Palace,Mumbai,Worli,"South Indian, Cafe",Food Court,Premium (₹1000-2000),1690,4.2,3778,Yes,No,Yes,Cafes,Cash,2015,102,Dal Makhani
252,Royal Palace,Chandigarh,Sector 9,"Pizza, Biryani",Delivery Only,Premium (₹1000-2000),1874,3.7,1734,Yes,No,Yes,Nightlife,All Modes,2010,0,Dal Makhani
253,Fresh Bistro,Bangalore,HSR Layout,"Pizza, Biryani",Bar & Restaurant,Premium (₹1000-2000),1431,4.4,1235,No,Yes,Yes,Dine-out,UPI,2020,86,Pizza
254,New Bistro,Jaipur,MI Road,"Mughlai, South Indian",Cafe,Moderate (₹500-1000),684,3.6,2751,No,No,Yes,Desserts,UPI,2016,15,Pasta
255,Fresh Bar,Delhi,Rohini,"Bengali, Fast Food",Bakery,Luxury (₹2000+),3560,3.3,4191,Yes,No,Yes,Pubs and bars,UPI,2019,171,Paneer Tikka
256,Grand Garden,Chandigarh,Sector 35,"Sushi, Street Food",Bakery,Luxury (₹2000+),4909,2.9,1879,No,Yes,Yes,Nightlife,All Modes,2013,123,Noodles
257,Little Lounge,Chandigarh,Sector 43,"Desserts, Street Food",Dhaba,Affordable (₹200-500),240,4.2,2071,Yes,Yes,Yes,Delivery,Cash,2007,131,Chole Bhature
258,Big Hub,Mumbai,Bandra,"Desserts, Chinese",Fine Dining,Moderate (₹500-1000),626,4.7,3203,Yes,Yes,No,Cafes,Card,2009,144,Sushi
259,The Bar,Bangalore,Koramangala,"Thai, Sushi",Buffet,Premium (₹1000-2000),1766,2.8,4427,Yes,No,Yes,Pubs and bars,All Modes,2021,173,Kebabs
260,Urban Corner,Jaipur,Mansarovar,"Seafood, Bakery",Cafe,Budget (₹0-200),138,3.5,1285,No,No,Yes,Nightlife,UPI,2020,146,Biryani
261,Big House,Surat,Rander,"Burger, North Indian",Dhaba,Moderate (₹500-1000),702,3.4,3382,Yes,Yes,No,Buffet,All Modes,2017,66,Pizza
262,Grand Dhaba,Delhi,Pitampura,"Desserts, Pizza",Delivery Only,Luxury (₹2000+),3865,4.5,1504,Yes,No,Yes,Pubs and bars,All Modes,2013,0,Tandoori
263,Golden Corner,Lucknow,Aminabad,"North Indian, Mughlai",Casual Dining,Luxury (₹2000+),2953,3.2,1034,Yes,Yes,Yes,Delivery,Card,2005,136,Dosa
264,Delhi Garden,Pune,Hadapsar,"Seafood, Thai",Buffet,Budget (₹0-200),109,2.6,3224,Yes,Yes,Yes,Desserts,UPI,2017,13,Butter Chicken
265,New Garden,Indore,Bhanwarkuan,"Street Food, Biryani",Casual Dining,Affordable (₹200-500),399,3.8,1717,No,No,Yes,Nightlife,Card,2006,200,Tacos
266,Delhi House,Jaipur,Vaishali Nagar,"Burger, Fast Food",Food Court,Budget (₹0-200),101,4.0,2668,Yes,Yes,Yes,Delivery,All Modes,2012,12,Biryani
267,Little Lounge,Lucknow,Aminabad,"Continental, Mexican",Fine Dining,Affordable (₹200-500),230,4.1,2782,Yes,No,Yes,Dine-out,Cash,2009,134,Dosa
268,Big Bites,Pune,Shivajinagar,"Street Food, Fast Food",Casual Dining,Premium (₹1000-2000),1301,3.1,333,Yes,No,Yes,Buffet,All Modes,2011,155,Paneer Tikka
269,Mumbai Grill,Jaipur,Tonk Road,"Street Food, Pizza",Bakery,Luxury (₹2000+),2002,2.9,2432,Yes,Yes,No,Desserts,All Modes,2010,14,Dal Makhani
270,Big Lounge,Chandigarh,Sector 43,"Biryani, Thai",Fine Dining,Luxury (₹2000+),4625,4.1,4527,No,Yes,No,Nightlife,Cash,2008,143,Kebabs
271,Fresh Cafe,Delhi,Connaught Place,"Mughlai, South Indian",Cafe,Budget (₹0-200),184,2.6,3193,No,Yes,Yes,Pubs and bars,UPI,2006,103,Dosa
272,The Bites,Lucknow,Gomti Nagar,"Fast Food, Desserts",Fine Dining,Premium (₹1000-2000),1631,4.3,3417,Yes,No,No,Pubs and bars,Cash,2007,87,Butter Chicken
273,Spice Grill,Hyderabad,Jubilee Hills,"Biryani, Bakery",Dhaba,Affordable (₹200-500),485,3.1,1475,Yes,No,No,Desserts,UPI,2019,189,Kebabs
274,Royal Garden,Kolkata,Salt Lake,"Mughlai, Bakery",Dhaba,Luxury (₹2000+),4253,3.8,4924,Yes,No,Yes,Nightlife,UPI,2018,172,Pasta
275,Modern Dhaba,Chandigarh,Sector 43,"Bakery, Cafe",Cafe,Premium (₹1000-2000),1610,3.6,3262,Yes,No,Yes,Pubs and bars,Card,2014,11,Pizza
276,Fresh Corner,Hyderabad,Gachibowli,"North Indian, Burger",Bar & Restaurant,Luxury (₹2000+),4384,3.6,1288,Yes,Yes,Yes,Dine-out,Card,2013,86,Butter Chicken
277,Modern Bites,Lucknow,Chowk,"Fast Food, Chinese",Food Court,Premium (₹1000-2000),1748,4.2,791,Yes,No,No,Cafes,Cash,2006,95,Burger
278,New Bites,Kochi,Thrippunithura,"Italian, Pizza",Bakery,Budget (₹0-200),169,3.8,2625,No,Yes,Yes,Buffet,Card,2009,22,Kebabs
279,Old Garden,Surat,Varachha,"Bengali, Bakery",Bar & Restaurant,Budget (₹0-200),116,4.4,1222,Yes,No,Yes,Buffet,Cash,2022,112,Pizza
280,Classic Hub,Delhi,Pitampura,"Continental, Mughlai",Buffet,Luxury (₹2000+),2293,4.1,1616,Yes,No,Yes,Nightlife,All Modes,2015,185,Tacos
281,Spice Bar,Lucknow,Gomti Nagar,"Mediterranean, Street Food",Food Court,Moderate (₹500-1000),586,3.9,208,Yes,No,Yes,Desserts,All Modes,2009,122,Biryani
282,Golden Bar,Kochi,Vyttila,"Thai, Continental",Fine Dining,Budget (₹0-200),101,4.7,2366,Yes,Yes,No,Nightlife,All Modes,2020,15,Burger
283,Golden Palace,Hyderabad,Gachibowli,"Desserts, Pizza",Bar & Restaurant,Premium (₹1000-2000),1261,4.1,3095,Yes,No,No,Delivery,UPI,2011,188,Dal Makhani
284,Old Bar,Chennai,T Nagar,"North Indian, Italian",Dhaba,Moderate (₹500-1000),760,3.2,3176,Yes,Yes,Yes,Delivery,UPI,2020,162,Chole Bhature
285,Golden Palace,Delhi,Lajpat Nagar,"Street Food, Bakery",Casual Dining,Budget (₹0-200),195,3.3,3232,Yes,No,Yes,Nightlife,UPI,2014,70,Chole Bhature
286,Grand Restaurant,Chennai,T Nagar,"Mexican, North Indian",Bar & Restaurant,Moderate (₹500-1000),766,4.7,1134,Yes,Yes,Yes,Pubs and bars,Card,2018,71,Dal Makhani
287,Delhi Bites,Bangalore,Electronic City,"Bengali, Sushi",Buffet,Luxury (₹2000+),3265,2.8,4444,Yes,Yes,No,Buffet,Card,2018,47,Kebabs
288,Mumbai Bistro,Kochi,Kakkanad,"Cafe, Bakery",Fine Dining,Affordable (₹200-500),410,2.6,2620,Yes,Yes,No,Buffet,UPI,2009,58,Butter Chicken
289,The Garden,Bangalore,Whitefield,"Bengali, Pizza",Bakery,Luxury (₹2000+),3952,3.1,223,Yes,No,Yes,Dine-out,All Modes,2016,57,Sushi
290,Old Cafe,Kolkata,Howrah,"Mughlai, Biryani",Cafe,Budget (₹0-200),195,4.8,1833,No,Yes,Yes,Dine-out,All Modes,2020,186,Burger
291,Urban Dhaba,Chandigarh,Mohali,"Mediterranean, Mexican",Casual Dining,Luxury (₹2000+),4884,3.4,4695,No,No,Yes,Desserts,Cash,2021,37,Momos
292,Urban Dhaba,Ahmedabad,CG Road,"Desserts, Bakery",Dhaba,Budget (₹0-200),137,4.8,1565,No,No,No,Desserts,UPI,2019,52,Pasta
293,Little Palace,Chennai,T Nagar,"Continental, Seafood",Buffet,Budget (₹0-200),117,4.8,4486,Yes,Yes,No,Delivery,Card,2019,161,Tacos
294,Urban House,Surat,Citylight,"Chinese, Burger",Food Court,Affordable (₹200-500),468,4.2,2983,Yes,Yes,Yes,Desserts,Card,2017,150,Pasta
295,Urban Corner,Mumbai,Juhu,"Bakery, Continental",Quick Bites,Affordable (₹200-500),428,3.5,2545,Yes,No,Yes,Delivery,Card,2011,10,Dal Makhani
296,The House,Indore,Scheme 54,"Seafood, Desserts",Bar & Restaurant,Budget (₹0-200),158,3.9,3907,No,Yes,Yes,Pubs and bars,Cash,2012,150,Pizza
297,The Cafe,Lucknow,Indira Nagar,"Continental, South Indian",Food Court,Budget (₹0-200),138,3.9,4952,Yes,Yes,No,Delivery,All Modes,2010,51,Kebabs
298,Old Grill,Chennai,Adyar,"Bakery, Thai",Casual Dining,Budget (₹0-200),197,4.7,564,Yes,No,Yes,Nightlife,All Modes,2009,41,Tandoori
299,Mumbai Palace,Chandigarh,Sector 9,"Mediterranean, Cafe",Cafe,Affordable (₹200-500),447,4.3,4343,Yes,Yes,No,Desserts,UPI,2018,165,Sushi
300,Classic Lounge,Pune,Viman Nagar,"Bengali, Thai",Quick Bites,Luxury (₹2000+),2792,4.0,4044,No,No,No,Delivery,Cash,2005,129,Kebabs
301,Little Point,Indore,Palasia,"Fast Food, Street Food",Dhaba,Budget (₹0-200),101,4.4,1749,Yes,No,No,Desserts,Cash,2014,86,Chole Bhature
302,Big Kitchen,Jaipur,Tonk Road,"Italian, Thai",Food Court,Premium (₹1000-2000),1485,3.3,2778,Yes,Yes,Yes,Buffet,Card,2020,49,Kebabs
303,Old Garden,Ahmedabad,Maninagar,"Mediterranean, South Indian",Bar & Restaurant,Moderate (₹500-1000),909,2.5,4740,Yes,No,No,Delivery,Card,2013,17,Burger
304,Modern Lounge,Kolkata,New Town,"Mexican, Mughlai",Bakery,Budget (₹0-200),152,4.2,2234,Yes,No,Yes,Nightlife,All Modes,2014,65,Chole Bhature
305,Spice Corner,Chennai,Adyar,"South Indian, Biryani",Fine Dining,Premium (₹1000-2000),1794,2.9,2796,Yes,No,No,Dine-out,Cash,2021,183,Paneer Tikka
306,Old Hub,Hyderabad,Banjara Hills,"Desserts, Italian",Casual Dining,Moderate (₹500-1000),552,4.6,2740,Yes,No,No,Buffet,UPI,2005,157,Noodles
307,Mumbai Dhaba,Chennai,Velachery,"Fast Food, Sushi",Delivery Only,Luxury (₹2000+),4551,2.8,1233,Yes,No,No,Pubs and bars,Cash,2011,0,Chole Bhature
308,Delhi Cafe,Pune,Shivajinagar,"Burger, Bengali",Cafe,Affordable (₹200-500),225,4.6,4438,Yes,No,No,Buffet,Cash,2008,108,Biryani
309,New Cafe,Delhi,Pitampura,"Bengali, Bakery",Buffet,Luxury (₹2000+),2380,4.5,4380,Yes,No,Yes,Desserts,All Modes,2008,126,Pizza
